WDR35	IFT172
SERPINA7	SERPINF2
ADAMTSL4	COL6A3
RPL18A	RPL7
AKAP12	MSRB3
SEC14L4	EPB41
TMED2	ATP13A1
FPR3	AIF1
RRP8	MAK16
SELPLG	TRAT1
ARMC1	UQCRQ
HDAC1	XRCC6
SGCA	MFAP4
MORF4L1	DAXX
WBP11	PNN
PDS5A	CPSF2
EIF3E	RPL11
FILIP1L	TUBB6
PCNA	RFC3
ITGA4	ARHGEF6
COL1A1	FBLN2
AQR	BRD4
STAG2	ILF2
CEP55	EXO1
COX17	CNBP
PDRG1	ASDURF
TAF4	ZC3H4
TFE3	ZYX
TJP1	WASL
NUCB2	SRP54
RBM6	SETD5
S1PR4	GAB3
CCDC174	ZNF226
UQCC2	ACADSB
XAB2	INTS3
TMEM186	MRPS18B
RPL23	RPL26
HELLS	MND1
FAF2	BNIP1
L2HGDH	COQ9
KNL1	LRR1
COL5A3	LAMB1
CLSPN	TONSL
LMNB1	HNRNPK
